12047239,AE,292969,Abu Dhabi Municipality
12047240,AE,292969,Al Ain Municipality
12047241,AE,292969,Al Dhafra
12047242,AE,292879,Al Fujairah Municipality
12047243,AE,292879,Dibba Al Fujairah Municipality
12060391,AE,292673,Dhaid
12060392,AE,292933,Ajman
12060393,AE,292673,Khor Fakkan
12060394,AE,292673,Dibba Al Hesn
12060395,AE,292673,Kalba
12060396,AE,291075,Ras Al Khaimah
12060397,AE,290595,Umm AL Quwain
12060398,AE,292673,Milehah
12060399,AE,292673,Al Madam
12060400,AE,292673,Sharjah
12060401,AE,292673,Al Hamriyah
12060402,AE,292933,Manama
12060403,AE,292933,Masfout
12060404,AE,292673,Al Batayih
12060405,AE,292224,Dubai
1125426,AF,1147745,Shighnan District
1140918,AF,1141268,Gēlān
7052641,AF,1147745,Arghanj Khwāh
7052663,AF,1147745,Argō
7052664,AF,1147745,Bahārak
7052665,AF,1147745,Darāyim
7052666,AF,1147745,Darwāz-e Bālā
7052667,AF,1147745,Darwāz-e Pā’īn
7052668,AF,1147745,Faīẕābād
7052669,AF,1147745,Ishkāshim
7052670,AF,1147745,Jurm
7052672,AF,1147745,Khāsh
7052674,AF,1147745,Khwāhān
7052679,AF,1147745,Kishim
7052680,AF,1147745,Kōhistān
7052682,AF,1147745,Kūf Āb
7052684,AF,1147745,Rāghistān
7052686,AF,1147745,Shahr-e Buzurg
7052689,AF,1147745,Shikī
7052690,AF,1147745,Shuhadā
7052691,AF,1147745,Tagāb
7052692,AF,1147745,Tashkān
7052694,AF,1147745,Wākhān
7052696,AF,1147745,Wardūj
7052701,AF,1147745,Yaftal-e Suflá
7052735,AF,1147745,Yamgān
7052736,AF,1147745,Yāwān
7052737,AF,1147745,Zaybāk
7052785,AF,1147707,Āb-e Kamarī
7052787,AF,1147707,Ghōrmāch
7052790,AF,1147707,Jowand
7052792,AF,1147707,Muqur
7052794,AF,1147707,Murghāb
7052795,AF,1147707,Qādis
7052796,AF,1147707,Qal‘ah-ye Now
7052857,AF,1147537,Andarāb
7052897,AF,1147537,Baghlān-e Jadīd
7052899,AF,1147537,Būrkah
7052900,AF,1147537,Dahanah-ye Ghōrī
7052901,AF,1147537,Deh-e Şalāḩ
7052902,AF,1147537,Dōshī
7052903,AF,1147537,Firing wa Ghārū
7052904,AF,1147537,Guz̄argāh-e Nūr
7052905,AF,1147537,Khinjān
